物品名称,文件类型,稀有度,等级,价格,物理攻击,魔法攻击,装备类型,武器类型,可用职业,技能增强,基础说明,文件路径
悲鸣草背心,equipment,2,25,18900,0,14,coat,,all,否,被攻击时， 有10%%的几率在被攻击的地方种下悲鸣草。,DNF文件知识库\参考资料\标准格式样板\武器\1\n_vest_sglass.equ
丝绒背心,equipment,1,40,24000,0,18,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_vest_skyarn.equ
牛头怪鬃毛背心,equipment,2,35,25900,0,18,coat,,all,否,被攻击时， 有5%%的几率召唤出1只牛头护卫。,DNF文件知识库\参考资料\标准格式样板\武器\1\n_vest_taumane.equ
羊毛背心,equipment,1,20,12000,0,9,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\n_vest_wool.equ
,equipment,0,0,0,0,0,,,,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\prey1.equ
,equipment,0,0,0,0,0,,,,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\prey2.equ
初级魔法师长袍,equipment,2,10,8400,0,7,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_beginmage.equ
(古老) 精灵祝福长袍,equipment,2,39,28700,0,20,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_bfairy.equ
(古老) 炎麻长袍,equipment,2,21,16100,0,12,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_cfiber.equ
棉布长袍,equipment,1,14,8400,0,7,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_cloth.equ
七星长袍,equipment,2,40,29400,0,21,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_cometsilk.equ
(古老) 雕翎长袍,equipment,3,25,25200,0,16,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_graphite.equ
精纺的棉布长袍,equipment,1,16,9600,0,8,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_hcloth.equ
荣誉者长袍,equipment,2,18,14000,0,11,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_hman.equ
(古老) 精纺的薄纱长袍,equipment,1,39,23400,0,18,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_hskyarn.equ
(古老) 精纺的羊绒长袍,equipment,1,28,16800,0,13,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_hwool.equ
瞑想者长袍,equipment,2,45,32900,0,23,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_muregalia.equ
(古老) 赫顿玛尔贵族长袍,equipment,2,27,20300,0,15,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_nhendon.equ
寂魂祈日长袍,equipment,2,50,37800,0,26,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_silent_freyja.equ
(古老) 薄纱长袍,equipment,1,38,22800,0,17,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_skyarn.equ
星纹长袍,equipment,2,45,32900,0,23,coat,,all,是,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_star_platina.equ
破旧的棉布长袍,equipment,0,14,5600,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_ucloth.equ
(古老) 破旧的薄纱长袍,equipment,0,38,15200,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_uskyarn.equ
(古老) 破旧的羊绒长袍,equipment,0,26,10400,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_uwool.equ
(古老) 羊绒长袍,equipment,1,26,15600,0,12,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\robe_wool.equ
棉布衬衫,equipment,1,5,3000,0,3,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_cloth.equ
蚕丝衬衫,equipment,2,8,7000,0,6,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_dbcloth.equ
格朗布林的蚕丝夹克,equipment,2,10,8400,0,7,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_gramblin.equ
(古老) 古老的天鹅绒衬衫,equipment,0,41,16400,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_oldvelvet.equ
粗布衬衫,equipment,0,1,400,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_ragcloth.equ
破旧的棉布衬衫,equipment,0,5,2000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_sbcloth.equ
(古老) 破旧的绢丝衬衫,equipment,0,29,11600,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_sbskyarn.equ
破旧的羊毛衬衫,equipment,0,17,6800,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_sbwool.equ
(古老) 绢丝衬衫,equipment,1,29,17400,0,13,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_skyarn.equ
残破的粗布衬衫,equipment,0,3,1200,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_tatcloth.equ
精纺的棉布衬衫,equipment,1,7,4200,0,3,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_tcloth.equ
(古老) 精纺的绢丝衬衫,equipment,1,31,18600,0,14,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_tskyarn.equ
精纺的羊毛衬衫,equipment,1,19,11400,0,9,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_twool.equ
(古老) 天鹅绒衬衫,equipment,1,41,24600,0,19,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_velvet.equ
羊毛衬衫,equipment,1,17,10200,0,8,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\sht_wool.equ
亚麻上衣,equipment,1,11,6600,0,5,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_cloth.equ
(古老) 冰凌长袍,equipment,2,30,22400,0,16,coat,,all,否,被攻击时， 有5%%的几率使敌人进入冰冻状态。,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_iseal.equ
精纺的亚麻上衣,equipment,1,13,7800,0,6,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_ncloth.equ
(古老) 精纺的绫罗衬衫,equipment,1,37,22200,0,17,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_nskyarn.equ
(古老) 精纺的丝绸背心,equipment,1,25,15000,0,12,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_nwool.equ
破旧的亚麻上衣,equipment,0,11,4400,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_ocloth.equ
(古老) 破旧的绫罗衬衫,equipment,0,35,14000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_oskyarn.equ
(古老) 旧式丝绸背心,equipment,0,23,9200,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_owool.equ
(古老) 绫罗衬衫,equipment,1,35,21000,0,16,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_skyarn.equ
(古老) 丝绸背心,equipment,1,23,13800,0,11,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\tunic_wool.equ
(古老) 幻影落凰长袍,equipment,3,30,32400,0,20,coat,,all,是,被攻击时， 有10%%的几率使敌人进入混乱状态。,DNF文件知识库\参考资料\标准格式样板\武器\1\tuxedo_phantom.equ
防弹背心,equipment,2,14,11200,0,9,coat,,all,否,对远程攻击的物理防御力 +30,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_bulletproof.equ
棉布背心,equipment,1,8,4800,0,4,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_cloth.equ
破旧的棉布背心,equipment,0,8,3200,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_ocloth.equ
(古老) 古老的丝绒背心,equipment,0,32,12800,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_oskyarn.equ
(古老) 古老的羊毛背心,equipment,0,20,8000,0,0,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_owool.equ
(古老) 悲鸣草背心,equipment,2,24,18200,0,13,coat,,all,否,被攻击时， 有10%%的几率在被攻击的地方种下悲鸣草。,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_sglass.equ
(古老) 丝绒背心,equipment,1,32,19200,0,15,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_skyarn.equ
(古老) 牛头怪鬃毛背心,equipment,2,33,24500,0,17,coat,,all,否,被攻击时， 有5%%的几率召唤出1只牛头护卫。,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_taumane.equ
厚绒棉布背心,equipment,1,10,6000,0,5,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_thcloth.equ
(古老) 厚绒丝绒背心,equipment,1,34,20400,0,16,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_thskyarn.equ
(古老) 厚绒羊毛背心,equipment,1,22,13200,0,10,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_thwool.equ
(古老) 羊毛背心,equipment,1,20,12000,0,9,coat,,all,否,,DNF文件知识库\参考资料\标准格式样板\武器\1\vest_wool.equ
戾波之尖啸,equipment,2,25,250000,43,43,weapon,,"swordman, demonic swordman",是,攻击时， 有2%%的几率使敌人进入感电状态。,DNF文件知识库\参考资料\标准格式样板\PVF文件样板\装备文件样板\武器_戾波之尖啸.equ
加持的苍穹之啸断刃胸甲 : [崩山击],equipment,4,0,0,25,25,jacket,,"swordman, demonic swordman",是,,DNF文件知识库\参考资料\标准格式样板\PVF文件样板\装备文件样板\防具_苍穹之啸断刃胸甲.equ
精 · 加持的秘技之境戒指 : [猛龙断空斩],equipment,4,70,0,25,25,ring,,"swordman, demonic swordman",否,,DNF文件知识库\参考资料\标准格式样板\PVF文件样板\装备文件样板\饰品_秘技之境戒指.equ
[巨龙]融合之念气光剑,equipment,3,80,151200,55,0,weapon,,"swordman, creator mage",是,在[月轮山]地区和真 · 远古地下城中可以发动特殊效果。 |     攻击时， 有5%%的几率向敌人发动闪电攻击。 |     被闪电命中的敌人会进入感电状态。 |     攻击感电状态的敌人时， 附加10%%的伤害。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\100330575.equ
古代遗迹的光剑[活动],equipment,3,65,124200,66,0,weapon,,"swordman, creator mage",是,破极兵刃上升武器攻击力增加20%%  | 不可交换， 不可合成， 不可解体， 可强化,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040001.equ
古代遗迹的光剑[出借活动],equipment,3,65,124200,66,0,weapon,,"swordman, creator mage",是,破极兵刃上升 武器攻击力增加20%%  | 不可强化、增幅、提炼、解体、送礼、仓库储存 | 只能在异界地下城使用。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040002.equ
天痕秘印光剑,equipment,3,70,133200,49,0,weapon,,"swordman, creator mage",是,[两仪功]技能Lv +1,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040018.equ
冰龙之愤怒,equipment,4,70,0,50,0,weapon,,"swordman, creator mage",是,[回天璇鸣剑]技能Lv +2 |   | [猛龙断空斩]斩击数上限 +1 | [瞬影斩]攻击力 +25%% | [回天璇鸣剑]多段攻击力 +100%% | [回天璇鸣剑]爆炸范围 +50%% |     攻击时， 有3%%的几率使敌人进入冰冻状态。 (在决斗场中无效) |     施放[猛龙断空斩]、 [瞬影斩]时， 有10%%的几率使敌人进入冰冻状态。 (在决斗场中无效),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040019.equ
卡露亚的教导 - 匿迹[活动],equipment,3,40,79200,31,0,weapon,,"swordman, creator mage",是,攻击速度 +1%% |     无法进行合成和分解。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040021.equ
双龙魔影剑[活动],equipment,3,50,100800,41,0,weapon,,"swordman, creator mage",否,攻击时， 有2%%的几率使敌人进入诅咒状态。 |     无法进行合成和分解。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040022.equ
复仇之剑 - 夺魂者[活动],equipment,3,55,109800,43,0,weapon,,"swordman, creator mage",否,破招攻击力 +20%% |     破招时， 有20%%的几率出现雷光爆炸。 |     无法进行合成和分解。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040025.equ
沙蟒之剑,equipment,0,80,72000,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040029.equ
血蟒之剑,equipment,1,80,96000,48,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040030.equ
冰陨光剑,equipment,2,80,131200,51,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040031.equ
灼魂之剑,equipment,3,80,0,55,0,weapon,,"swordman, creator mage",否,装备后， 力量增加100点， 智力减少80点。 |     ↑↓+[宠物技能指令] : 可以使自身进入灼伤状态， 并对周围敌人造成伤害， 效果持续10秒。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040035.equ
狂暴光剑,equipment,2,15,27200,12,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040036.equ
无尽之逐神弑光剑,equipment,3,1,124200,8,0,weapon,,"swordman, creator mage",否,攻击时敌人 4%% 附加伤害 | 成长的活动给予无限制武器（根据角色的等级最多可成长至67等级） | 不可交换， 不可合成， 不可解体,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040041.equ
镇魂之封灵光剑,equipment,4,85,0,101,0,weapon,,"swordman, creator mage",是,攻击速度 +1.5%% |   |     攻击时， 附加16%%的伤害。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040045.equ
释魂之真灵光剑,equipment,4,85,0,129,0,weapon,,"swordman, creator mage",是,攻击速度 +3%% |   |     攻击时， 附加23%%的伤害。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040046.equ
歃血之怨,equipment,4,75,162000,58,0,weapon,,"swordman, creator mage",否,攻击时， 有20%%的几率使敌人进入出血状态。 |     攻击出血状态的敌人时， 附加40%%的伤害。 |     攻击出血状态的敌人时， 可以使自身进入祝福状态。 |     攻击出血状态的敌人时， 可以使自身进入加速状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040144.equ
雷剑 - 苦轮,equipment,4,85,182000,72,0,weapon,,"swordman, creator mage",否,攻击时， 附加10%%的光属性伤害。 |   |     ↑↓+[宠物技能键]输入时， 发动雷电效果， 效果持续60秒。 (消耗2个白色小晶块； 最多重叠1次),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040146.equ
巴鲁姆克之剑,equipment,4,85,182000,72,0,weapon,,"swordman, creator mage",是,[五气朝元]技能Lv +2 |   |     技能快捷栏上每空出一个位置， 增加5%%的伤害。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040148.equ
破旧的逆光长剑,equipment,0,75,67500,0,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040172.equ
逆光长剑,equipment,1,75,90000,45,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040173.equ
巴塔路西斯的爆炎剑,equipment,3,35,70200,28,0,weapon,,"swordman, creator mage",否,攻击时， 有2%%的几率使敌人进入灼伤状态。 |     攻击灼伤状态的敌人时， 附加10%%的伤害。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040175.equ
精 · 汲空幻境光剑,equipment,5,70,116800,47,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040252.equ
精 · 剑影焚伤光剑,equipment,5,70,116800,47,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040253.equ
精 · 逆剑流觞光剑,equipment,5,70,116800,47,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040254.equ
御剑凌云光剑,equipment,5,70,116800,47,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040255.equ
剑之神域光剑,equipment,5,70,116800,47,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040256.equ
灵剑天流光剑,equipment,5,70,116800,47,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\beamsword\101040257.equ
